# provider	requested	resolved	reason
apt	gcc++	g++	Debian-family distributions package the C++ compiler as g++
apt	g++	g++	Debian-family distributions package the C++ compiler as g++
dnf	gcc++	gcc-c++	Fedora-family distributions package the C++ compiler as gcc-c++
dnf	g++	gcc-c++	Fedora-family distributions package the C++ compiler as gcc-c++
pacman	gcc++	gcc	Arch provides GCC and G++ together in the gcc package
pacman	g++	gcc	Arch provides GCC and G++ together in the gcc package
xbps	gcc++	gcc	Void provides GCC and G++ together in the gcc package
xbps	g++	gcc	Void provides GCC and G++ together in the gcc package
zypper	gcc++	gcc-c++	openSUSE packages the C++ compiler as gcc-c++
zypper	g++	gcc-c++	openSUSE packages the C++ compiler as gcc-c++
apk	gcc++	g++	Alpine packages the C++ compiler as g++
apk	g++	g++	Alpine packages the C++ compiler as g++
portage	gcc++	gcc	Gentoo provides the C++ frontend through GCC
portage	g++	gcc	Gentoo provides the C++ frontend through GCC
eopkg	gcc++	gcc	Solus provides the C++ frontend through GCC
eopkg	g++	gcc	Solus provides the C++ frontend through GCC
swupd	gcc	c-basic	Clear Linux ships its compiler toolchain in the c-basic bundle
swupd	gcc++	c-basic	Clear Linux ships its compiler toolchain in the c-basic bundle
swupd	g++	c-basic	Clear Linux ships its compiler toolchain in the c-basic bundle
slackpkg	gcc++	gcc-g++	Slackware packages the C++ frontend as gcc-g++
slackpkg	g++	gcc-g++	Slackware packages the C++ frontend as gcc-g++
opkg	gcc++	g++	opkg feeds conventionally name the C++ compiler g++
opkg	g++	g++	opkg feeds conventionally name the C++ compiler g++
urpmi	gcc++	gcc-c++	Mageia packages the C++ compiler as gcc-c++
urpmi	g++	gcc-c++	Mageia packages the C++ compiler as gcc-c++
guix	gcc++	gcc	Guix exposes the C++ frontend through the GCC package
guix	g++	gcc	Guix exposes the C++ frontend through the GCC package
brew	gcc++	gcc	Homebrew provides the C++ frontend through the gcc formula
brew	g++	gcc	Homebrew provides the C++ frontend through the gcc formula
nix	gcc++	gcc	Nixpkgs provides the C++ frontend through the gcc package
nix	g++	gcc	Nixpkgs provides the C++ frontend through the gcc package
apt	bat	batcat	Debian installs the bat executable under the batcat package name
apt	fd	fd-find	Debian packages fd as fd-find
