Firefox	Internet	flatpak	org.mozilla.firefox	Web browser
Firefox	Internet	snap	firefox	Web browser
Chromium	Internet	flatpak	org.chromium.Chromium	Open-source browser
Brave	Internet	flatpak	com.brave.Browser	Privacy-focused browser
Librewolf	Internet	flatpak	io.gitlab.librewolf-community	Hardened Firefox fork
Tor Browser	Internet	flatpak	com.github.micahflee.torbrowser-launcher	Anonymity browser
Transmission	Internet	flatpak	com.transmissionbt.Transmission	BitTorrent client
qBittorrent	Internet	flatpak	org.qbittorrent.qBittorrent	BitTorrent client
Thunderbird	Communication	flatpak	org.mozilla.Thunderbird	Email client
Telegram	Communication	flatpak	org.telegram.desktop	Messaging app
Signal	Communication	flatpak	org.signal.Signal	Private messenger
Element	Communication	flatpak	im.riot.Riot	Matrix chat client
Discord	Communication	flatpak	com.discordapp.Discord	Chat for communities
Slack	Communication	flatpak	com.slack.Slack	Team communication
Zoom	Communication	flatpak	us.zoom.Zoom	Video conferencing
Fractal	Communication	flatpak	org.gnome.Fractal	Matrix messaging client
Spotify	Media	flatpak	com.spotify.Client	Music streaming
Spotify	Media	snap	spotify	Music streaming
VLC	Media	flatpak	org.videolan.VLC	Media player
MPV	Media	flatpak	io.mpv.Mpv	Lightweight video player
Celluloid	Media	flatpak	io.github.celluloid_player.Celluloid	Simple MPV frontend
Clapper	Media	flatpak	com.github.rafostar.Clapper	GNOME media player
Amberol	Media	flatpak	io.bassi.Amberol	Music player
Lollypop	Media	flatpak	org.gnome.Lollypop	GNOME music player
Shortwave	Media	flatpak	de.haeckerfelix.Shortwave	Internet radio player
Handbrake	Media	flatpak	fr.handbrake.ghb	Video transcoder
ffmpeg	Media	apt	ffmpeg	Media toolkit (CLI)
OBS Studio	Creative	flatpak	com.obsproject.Studio	Recording and streaming
Audacity	Creative	flatpak	org.audacityteam.Audacity	Audio editor
Kdenlive	Creative	flatpak	org.kde.kdenlive	Video editor
OpenShot	Creative	flatpak	org.openshot.OpenShot	Video editor
Pitivi	Creative	flatpak	org.pitivi.Pitivi	GNOME video editor
GIMP	Creative	flatpak	org.gimp.GIMP	Image editor
Inkscape	Creative	flatpak	org.inkscape.Inkscape	Vector graphics editor
